2018-11-29 22:10:05.751 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2018-11-29 22:10:05.762 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-29 22:10:05.763 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-29 22:10:06.009 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2018-11-29 22:10:06.174 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-29 22:10:06.203 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c1b194a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4dbb42b7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66f57048, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@550dbc7a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21282ed8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@36916eb0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7bab3f1a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@437da279, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@23c30a20, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1e1a0406, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3cebbb30, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@12aba8be]
2018-11-29 22:11:42.540 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaoshu.admin.AdminApplicationTests], using SpringBootContextLoader
2018-11-29 22:11:42.550 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.xiaoshu.admin.AdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-29 22:11:42.552 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.xiaoshu.admin.AdminApplicationTests]: AdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-29 22:11:42.770 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.xiaoshu.AdminApplication for test class com.xiaoshu.admin.AdminApplicationTests
2018-11-29 22:11:42.929 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
